f1_name,f2_name,market_prob_f1,gen_prob_f1,ud_prob_f1,blended_prob_f1,blended_edge,target,price_f1
Hyder Amil,William Gomis,0.3623188405797101,0.3273553550243377,0.8496899,0.6668728008866309,0.30455396030692083,1,176
Sam Patterson,Danny Barlow,0.3333333333333333,0.4336704313755035,0.77304393,0.6542631909251213,0.320929857591788,1,200
Henry Cejudo,Song Yadong,0.3225806451612903,0.2049191445112228,0.31775364,0.27826155498623845,-0.04431909017505187,0,210
Brendan Allen,Anthony Hernandez,0.2702702702702703,0.3315390646457672,0.29997137,0.31102005392313004,0.04074978365285975,0,270
Rob Font,Jean Matsumoto,0.373134328358209,0.3270187675952911,0.7412965,0.5962992951273918,0.2231649667691828,1,168
Melsik Baghdasaryan,Jean Silva,0.2083333333333333,0.1831928715109825,0.29334113,0.25478923209011556,0.04645589875678227,0,380
Julius Walker,Alonzo Menifield,0.3401360544217687,0.6820619255304337,0.43217984,0.5196385733783245,0.17950251895655583,0,194
Ion Cutelaba,Ibo Aslan,0.3571428571428571,0.2728081718087196,0.66626173,0.5285529833287,0.17141012618584295,1,180
Nick Klein,Mansur Abdul-Malik,0.1098901098901098,0.1468527242541313,0.4010623,0.3120889339596033,0.2021988240694935,0,810
Ricky Simon,Javid Basharat,0.3174603174603174,0.5019513070583344,0.6942011,0.6269136622548104,0.309453344794493,1,215
Jared Cannonier,Gregory Rodrigues,0.3401360544217687,0.2867247015237808,0.7219098,0.5695950262248516,0.2294589718030829,1,194
Calvin Kattar,Youssef Zalal,0.2222222222222222,0.1703745946288108,0.20760621,0.1945751447230577,-0.027647077499164507,0,350
Dylan Budka,Edmen Shahbazyan,0.1612903225806451,0.2071759700775146,0.41294318,0.3409246563911438,0.17963433381049868,0,520
Nazim Sadykhov,Ismael Bonfim,0.3333333333333333,0.4718411415815353,0.7025541,0.6218045510351657,0.2884712177018324,1,200
Andre Petroski,Rodolfo Vieira,0.3125,0.5032919943332672,0.58579564,0.556919364631176,0.24441936463117597,1,220
Sean Strickland,Dricus Du Plessis,0.352112676056338,0.1959488242864608,0.76633877,0.566702277213335,0.214589601156997,0,184
Francisco Prado,Jake Matthews,0.3333333333333333,0.563044086098671,0.41961366,0.46981428787112234,0.13648095453778902,0,200
Jack Jenkins,Gabriel Santos,0.3472222222222222,0.5780394673347473,0.34445956,0.42621252238750457,0.07899030016528236,0,188
Colby Thicknesse,Aleksandre Topuria,0.273972602739726,0.4833165854215622,0.36834404,0.4085844226181507,0.1346118198784247,0,265
Rongzhu,Kody Steele,0.2631578947368421,0.7168996185064316,0.78434724,0.7607405729591846,0.49758267822234253,1,280
Jonathan Micallef,Kevin Jousset,0.3571428571428571,0.5099994987249374,0.55743325,0.5408314235508442,0.18368856640798714,1,180
Michael Page,Shara Magomedov,0.3787878787878788,0.2716417610645294,0.6580759,0.5228239521384239,0.14403607335054514,1,164
Jairzinho Rozenstruik,Sergei Pavlovich,0.2777777777777778,0.490784078836441,0.2738197,0.3497572347521781,0.07197945697440034,0,260
Vinicius Oliveira,Said Nurmagomedov,0.3472222222222222,0.5195316076278687,0.7463486,0.6669626474380493,0.31974042521582713,1,188
Kaan Ofli,Muhammad Naimov,0.2439024390243902,0.2018395960330963,0.3068264,0.27008101493120196,0.026178575906811746,0,310
Thomas Petersen,Shamil Gaziev,0.2666666666666666,0.3506311029195785,0.36984617,0.3631208874285221,0.0964542207618555,0,275
Damir Hadzovic,Terrance McKinney,0.1886792452830188,0.373777762055397,0.18550405,0.2513998426496982,0.06272059736667943,0,430
Mayra Bueno Silva,Jasmine Jasudavicius,0.3278688524590163,0.3132327049970627,0.27076647,0.2856296427547932,-0.042239209704223124,0,205
Renato Moicano,Islam Makhachev,0.1176470588235294,0.2722646296024322,0.17955701,0.21200467646121976,0.09435761763769036,0,750
Merab Dvalishvili,Umar Nurmagomedov,0.3125,0.4604872167110443,0.68020034,0.6033007338643074,0.2908007338643074,1,220
Serghei Spivac,Jailton Almeida,0.2222222222222222,0.3282796144485473,0.3006563,0.31032444834709166,0.08810222612486945,0,350
Raoni Barcelos,Payton Talbott,0.1176470588235294,0.145585760474205,0.6243644,0.45679183676838875,0.33914477794485937,1,750
Billy Elekana,Bogdan Guskov,0.2325581395348837,0.4905100762844085,0.46467167,0.4737151101231575,0.2411569705882738,0,330
Diego Ferreira,Grant Dawson,0.3333333333333333,0.3355702906847,0.28061235,0.2998476229608059,-0.0334857103725274,0,200
