date,main_fight_id,fighter1,fighter2,odds1,odds2,prob1,prob2,pick,pick_odds,pick_prob,ev1,ev2,winner,pick_correct,actual_pnl,bet,skip_reason,error,female
2025-09-06,138.0,Brendson Ribeiro,Oumar Sy,420,-560,0.2348860204219818,0.7651139795780182,Oumar Sy,-560.0,0.7651139795780182,0.2214073061943055,-0.09825852406876429,Oumar Sy,True,0.17857142857142858,False,favorite cap (-560 <= -300),False,False
2025-09-06,139.0,Ante Delija,Marcin Tybura,-102,-116,0.4288877099752426,0.5711122900247574,Marcin Tybura,-116.0,0.5711122900247574,-0.15063414299020583,0.06345047108058266,Ante Delija,False,-1.0,False,min_fights,False,False
2025-09-06,140.0,Harry Hardwick,Kaue Fernandes,176,-210,0.19166454672813416,0.8083354532718658,Kaue Fernandes,-210.0,0.8083354532718658,-0.47100585103034975,0.19325709768704002,Kaue Fernandes,True,0.47619047619047616,False,min_fights,False,False
2025-09-06,141.0,Sam Patterson,Trey Waters,-194,162,0.5489657074213028,0.4510342925786972,Sam Patterson,-194.0,0.5489657074213028,-0.16806227844400506,0.18170984655618672,Sam Patterson,True,0.5154639175257731,False,favorite confidence (54.9% < 65.0%),False,False
2025-09-06,142.0,Brad Tavares,Robert Bryczek,-200,168,0.733336865901947,0.266663134098053,Brad Tavares,-200.0,0.733336865901947,0.10000529885292053,-0.285342800617218,Robert Bryczek,False,-1.0,False,min_fights,False,False
2025-09-06,143.0,Andreas Gustafsson,Rinat Fakhretdinov,-132,112,0.6574931293725967,0.34250687062740326,Andreas Gustafsson,-132.0,0.6574931293725967,0.15559398495789728,-0.2738854342699051,Rinat Fakhretdinov,False,-1.0,False,min_fights,False,False
2025-09-06,144.0,Sam Hughes,Shauna Bannon,-275,225,0.5044176578521729,0.49558234214782715,Sam Hughes,-275.0,0.5044176578521729,-0.3121577392924916,0.6106426119804382,Sam Hughes,True,0.36363636363636365,False,favorite confidence (50.4% < 65.0%),False,True
2025-09-06,,Fares Ziam,Kaue Fernandes,-350,275,0.7457958906888962,0.2542041093111038,Fares Ziam,-350.0,0.7457958906888962,-0.04111956911427636,-0.04673459008336067,,,,False,favorite cap (-350 <= -300),False,False
2025-09-14,118.0,Diego Lopes,Jean Silva,176,-210,0.5724118798971176,0.4275881201028824,Diego Lopes,176.0,0.5724118798971176,0.5798567885160446,-0.36879848937193555,Diego Lopes,True,1.76,True,,False,False
2025-09-14,119.0,David Martinez,Rob Font,108,-130,0.6707993447780609,0.3292006552219391,David Martinez,108.0,0.6707993447780609,0.39526263713836673,-0.4175680715304155,David Martinez,True,1.08,True,,False,False
2025-09-14,120.0,Rafa Garcia,Jared Gordon,-130,130,0.49365904927253723,0.5063409507274628,Jared Gordon,130.0,0.5063409507274628,-0.12660322051781875,0.16458418667316443,Rafa Garcia,False,-1.0,False,underdog confidence (50.6% < 53.0%),False,False
2025-09-14,121.0,Kelvin Gastelum,Dustin Stoltzfus,-130,130,0.4087408781051636,0.5912591218948364,Dustin Stoltzfus,130.0,0.5912591218948364,-0.27684306181394136,0.35989598035812376,Kelvin Gastelum,False,-1.0,True,,False,False
2025-09-28,106.0,Carlos Ulberg,Dominick Reyes,-245,200,0.6357174068689346,0.36428259313106537,Carlos Ulberg,-245.0,0.6357174068689346,-0.10480610053150019,0.0928477793931961,Carlos Ulberg,True,0.40816326530612246,False,favorite confidence (63.6% < 65.0%),False,False
2025-09-28,107.0,Ivan Erslan,Jimmy Crute,194,-235,0.24652693420648575,0.7534730657935143,Jimmy Crute,-235.0,0.7534730657935143,-0.2752108134329319,0.07409990230139268,Jimmy Crute,True,0.425531914893617,True,,False,False
2025-09-28,108.0,Jack Jenkins,Ramon Taveras,-300,245,0.6760070770978928,0.32399292290210724,Jack Jenkins,-300.0,0.6760070770978928,-0.098657230536143,0.11777558401227006,Jack Jenkins,True,0.3333333333333333,False,favorite cap (-300 <= -300),False,False
2025-09-28,109.0,Jake Matthews,Neil Magny,-320,260,0.4286026507616043,0.5713973492383957,Neil Magny,260.0,0.5713973492383957,-0.43745902087539434,1.0570304572582245,Neil Magny,True,2.6,True,,False,False
2025-09-28,110.0,Charlie Campbell,Tom Nolan,134,-158,0.291227787733078,0.708772212266922,Tom Nolan,-158.0,0.708772212266922,-0.31852697670459745,0.1573622200307967,Tom Nolan,True,0.6329113924050633,True,,False,False
2025-09-28,111.0,Navajo Stirling,Rodolfo Bellato,-270,220,0.6990969181060791,0.3009030818939209,Navajo Stirling,-270.0,0.6990969181060791,-0.04197829741018794,-0.03711013793945306,Navajo Stirling,True,0.37037037037037035,False,edge (-3.1% < 5.0%),False,False
2025-09-28,112.0,Andre Petroski,Cam Rowston,-174,146,0.23253028094768524,0.7674697190523148,Cam Rowston,146.0,0.7674697190523148,-0.6338316265536451,0.8879755088686943,Cam Rowston,True,1.46,False,min_fights,False,False
2025-09-28,,Jonathan Micallef,Oban Elliott,105,-125,0.46187059581279755,0.5381294041872025,Oban Elliott,-125.0,0.5381294041872025,-0.05316527858376502,-0.03136707246303555,,,,False,min_fights,False,False
2025-09-28,113.0,Jamie Mullarkey,Rolando Bedoya,-134,114,0.5034419000148773,0.4965580999851227,Jamie Mullarkey,-134.0,0.5034419000148773,-0.12085518952625901,0.06263433396816254,Jamie Mullarkey,True,0.746268656716418,False,favorite confidence (50.3% < 65.0%),False,False
2025-09-28,114.0,Colby Thicknesse,Josias Musasa,134,-158,0.6705021858215332,0.3294978141784668,Colby Thicknesse,134.0,0.6705021858215332,0.5689751148223877,-0.461959265455415,Colby Thicknesse,True,1.34,True,,False,False
2025-09-28,115.0,Luana Carolina,Michelle Montague,176,-210,0.36455027759075165,0.6354497224092484,Michelle Montague,-210.0,0.6354497224092484,0.006158766150474504,-0.06195517168158576,Michelle Montague,True,0.47619047619047616,False,min_fights,False,True
2025-10-12,80.0,Charles Oliveira,Mateusz Gamrot,-108,-108,0.5471115708351135,0.4528884291648865,Charles Oliveira,-108.0,0.5471115708351135,0.053696358645403786,-0.1277704327194779,Charles Oliveira,True,0.9259259259259259,False,favorite confidence (54.7% < 65.0%),False,False
2025-10-12,81.0,Deiveson Figueiredo,Montel Jackson,265,-330,0.3152286410331726,0.6847713589668274,Montel Jackson,-330.0,0.6847713589668274,0.15058453977108,-0.10772216861898248,Deiveson Figueiredo,False,-1.0,False,favorite cap (-330 <= -300),False,False
