date,main_fight_id,fighter1,fighter2,odds1,odds2,prob1,prob2,pick,pick_odds,pick_prob,ev1,ev2,winner,pick_correct,actual_pnl,bet,skip_reason,error,female,odds_source_file,odds_source_line,odds_source_type,odds_source_row,source_event_id,source_url,scraped_at,bookmaker,odds_timestamp,odds_is_opening_line,odds_is_closing_line
2026-02-01,,Alexander Volkanovski,Diego Lopes,-150,135,0.555282399058342,0.444717600941658,Alexander Volkanovski,-150.0,0.555282399058342,-0.07452933490276337,0.045086362212896414,Alexander Volkanovski,True,0.6666666666666666,False,favorite confidence (55.5% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,23,,,,,,,,,
2026-02-01,,Cam Rowston,Cody Brundage,-360,280,0.6451720595359802,0.3548279404640198,Cam Rowston,-360.0,0.6451720595359802,-0.17561347948180303,0.34834617376327504,Cam Rowston,True,0.2777777777777778,False,favorite cap (-360 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,24,,,,,,,,,
2026-02-08,,Amir Albazi,Kyoji Horiguchi,285,-375,0.42594701051712036,0.5740529894828796,Kyoji Horiguchi,-375.0,0.5740529894828796,0.6398959904909134,-0.2728662133216858,Kyoji Horiguchi,True,0.26666666666666666,False,favorite cap (-375 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,25,,,,,,,,,
2026-02-08,,Niko Price,Nikolay Veretennikov,220,-275,0.6439070850610733,0.3560929149389267,Niko Price,220.0,0.6439070850610733,1.0605026721954347,-0.5144187523560091,Nikolay Veretennikov,False,-1.0,True,,False,False,backtest/odds/ufc_2026_odds_custom.csv,26,,,,,,,,,
2026-02-08,,Alex Morono,Daniil Donchenko,510,-900,0.20417333394289017,0.7958266660571098,Daniil Donchenko,-900.0,0.7958266660571098,0.24545733705162998,-0.11574814882543352,Daniil Donchenko,True,0.1111111111111111,False,favorite cap (-900 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,27,,,,,,,,,
2026-02-08,,Dustin Jacoby,Julius Walker,-167,133,0.30375705659389496,0.696242943406105,Julius Walker,133.0,0.696242943406105,-0.5143524903558685,0.6222460581362248,Dustin Jacoby,False,-1.0,True,,False,False,backtest/odds/ufc_2026_odds_custom.csv,28,,,,,,,,,
2026-02-08,,Farid Basharat,Jean Matsumoto,-305,235,0.6252040266990662,0.37479597330093384,Farid Basharat,-305.0,0.6252040266990662,-0.16981104651435477,0.2555665105581284,Farid Basharat,True,0.32786885245901637,False,favorite cap (-305 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,29,,,,,,,,,
2026-02-08,,Marc-Andre Barriault,Michal Oleksiejczluk,370,-500,0.3396493047475815,0.6603506952524185,Michal Oleksiejczluk,-500.0,0.6603506952524185,0.5963517323136329,-0.20757916569709778,Michal Oleksiejczuk,True,0.2,False,favorite cap (-500 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,30,,,,,,,,,
2026-02-08,,Jailton Almeida,Rizvan Kuniev,-177,140,0.8222518786787987,0.17774812132120132,Jailton Almeida,-177.0,0.8222518786787987,0.28680096267812,-0.5734045088291169,Rizvan Kuniev,False,-1.0,True,,False,False,backtest/odds/ufc_2026_odds_custom.csv,31,,,,,,,,,
2026-02-08,,Mario Bautista,Vinicius Oliveira,-148,118,0.4136402755975723,0.5863597244024277,Vinicius Oliveira,118.0,0.5863597244024277,-0.3068730517013653,0.2782641991972923,Mario Bautista,False,-1.0,True,,False,False,backtest/odds/ufc_2026_odds_custom.csv,32,,,,,,,,,
